index;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot;P_tot;distance;geometry;path;path_length
0;191530631;1;Campus universitario USI-SUPSI;Via La Santa 1;Viganello;6962;Lugano;1060;1263.0;8023.0;6660.0;6.0;2717885.231;1096743.911;39960.0;43;1718280.0;7;279720.0;1998000.0;1175.2941176470588;23.671782071696736;POINT (717885.2 96744);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717826.0630479951 96718.83480217407, 717885.2 96744);128.53740738078633
1;190600308;566a;;Via Giacomo e Filippo Ciani 7;Lugano;6900;Lugano;1020;1122.0;8022.0;808.0;7.0;2717794.229;1096766.91;5656.0;14;79184.0;21;118776.0;197960.0;98.98;115.08289525915049;POINT (717794.2 96767);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717794.2 96767);166.94329245844736
2;190104835;47a;Stabile Via Merlina;Via Merlina 7;Viganello;6962;Lugano;1020;1122.0;8022.0;319.0;7.0;2718044.236;1096806.913;2233.0;14;31262.0;21;46893.0;78155.0;39.0775;162.50009444754448;POINT (718044.2 96807);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295, 718044.2 96807);553.1994910945938
3;11140913;1649a;Residenza CASPI;Via Marco da Carona 6;Lugano;6900;Lugano;1020;1122.0;8021.0;415.0;8.0;2717740.227;1096769.909;3320.0;16;53120.0;21;69720.0;122840.0;61.42;167.59052923202313;POINT (717740.2 96770);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671, 717740.2 96770);215.8224021245833
4;191124094;9h;;Via Merlina 6;Viganello;6962;Lugano;1020;1122.0;8022.0;153.0;7.0;2718080.31;1096757.76;1071.0;14;14994.0;21;22491.0;37485.0;18.7425;180.4643578948788;POINT (718080.3 96757.8);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718080.3 96757.8);461.1654493653547
5;191454691;8a;;Via Merlina 8;Viganello;6962;Lugano;1020;1122.0;8023.0;404.0;7.0;2718091.237;1096789.914;2828.0;14;39592.0;21;59388.0;98980.0;49.49;198.84820263410705;POINT (718091.2 96790);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718091.2 96790);484.59166373103676
6;755355;24ff;Ospedale regionale di Lugano Italiano;Via Pietro Capelli 9;Viganello;6962;Lugano;1040;1264.0;8020.0;2884.0;4.0;2717866.66;1096519.59;11536.0;40;461440.0;28;323008.0;784448.0;356.5672727272727;211.1488831351883;POINT (717866.6 96519.60000000001);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717839.7904338011 96609.03614580077, 717835.8585747302 96573.69107068962, 717834.8777392174 96559.95145605803, 717842.0833239915 96504.80858256864, 717866.6 96519.60000000001);333.44927313541103
7;191658148;54;;Via G. B. Dominione 4;Viganello;6962;Lugano;1030;1122.0;8023.0;452.0;7.0;2718080.238;1096868.914;3164.0;14;44296.0;21;66444.0;110740.0;55.37;227.1385547117766;POINT (718080.2 96869);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295, 718080.2 96869);556.9030176302506
8;191678557;207;Residenza Lido;Via al Lido 1;Viganello;6962;Lugano;1020;1122.0;8023.0;179.0;7.0;2718120.237;1096657.914;1253.0;14;17542.0;21;26313.0;43855.0;21.9275;228.71463513355556;POINT (718120.2 96658);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718094.2069161816 96683.13539731683, 718100.9793045996 96643.61740810893, 718120.2 96658);475.1107562642753
9;400011609;1615e;Condominio Residenza Alea;Via Marco da Carona 9;Lugano;6900;Lugano;1030;1122.0;8021.0;588.0;7.0;2717691.05;1096821.64;4116.0;16;65856.0;21;86436.0;152292.0;76.146;231.3245893330328;POINT (717691 96821.7);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671, 717642.0385609693 96759.48778059256, 717656.7811728688 96815.50063696461, 717691 96821.7);345.86901671509094
